keep_label,review_status,review_notes,cik,company_name,aaer_year,match_score,aaer_date,aaer_numbers,aaer_details,aaer_links,label_source,normalized_company_name,distinctive_company_tokens,exact_company_phrase_in_aaer,distinctive_token_coverage,triage_category,automation_status,automation_reason
1,LIKELY COMPANY MATCH,,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.",2018,100,10-Jul-18,AAER-3949,"Advanced Drainage Systems, Inc. and Mark B. Sturgeon, CPA Release No. 33-10517, 34-83612, AAER-3949 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2018/33-10517.pdf | https://www.sec.gov/enforce/33-10517-s,SEC AAER index + company-name candidate matching,ADVANCED DRAINAGE SYSTEMS,ADVANCED | DRAINAGE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
0,LIKELY COMPANY MATCH,,105608,AG&E HOLDINGS INC.,2010,100,3-Jun-10,AAER-3138,"Walter A. Forbes and E. Kirk Shelton Release No. LR-21548, AAER-3138",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21548,SEC AAER index + company-name candidate matching,AND E,,True,0.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Candidate name contains only generic/short terms and the full legal entity was not found.
1,LIKELY COMPANY MATCH,,1403720,"AIRTOUCH COMMUNICATIONS, INC.",2015,100,9-Apr-15,AAER-3650,"AirTouch Communications, Inc. Kanakubo, Hideyuki Kaiser, Jerome, CPA Release No. 33-9744, 34-74691, AAER-3650",https://www.sec.gov/files/litigation/admin/2015/33-9744.pdf,SEC AAER index + company-name candidate matching,AIRTOUCH COMMUNICATIONS,AIRTOUCH | COMMUNICATIONS,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,3116,AKORN INC,2018,100,26-Mar-18,AAER-3931,"Akorn, Inc., Timothy Dick, and David Hebeda Release No. LR-24082, AAER-3931 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-24082 | https://www.sec.gov/files/litigation/complaints/2018/comp24082.pdf,SEC AAER index + company-name candidate matching,AKORN,AKORN,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,899866,ALEXION PHARMACEUTICALS INC,2020,100,2-Jul-20,AAER-4151,"Alexion Pharmaceuticals, Inc. Release No. 34-89214, AAER-4151",https://www.sec.gov/files/litigation/admin/2020/34-89214.pdf,SEC AAER index + company-name candidate matching,ALEXION PHARMACEUTICALS,ALEXION | PHARMACEUTICALS,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,6284,ANALOGIC CORP,2016,100,21-Jun-16,AAER-3784,"Analogic Corporation and Lars Frost Release No. 34-78113, AAER-3784",https://www.sec.gov/files/litigation/admin/2016/34-78113.pdf,SEC AAER index + company-name candidate matching,ANALOGIC,ANALOGIC,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1091748,"ARGO GROUP INTERNATIONAL HOLDINGS, INC.",2020,100,4-Jun-20,AAER-4146,"Argo Group International Holdings, Ltd. Release No. 34-89009, AAER-4146",https://www.sec.gov/files/litigation/admin/2020/34-89009.pdf,SEC AAER index + company-name candidate matching,ARGO GROUP INTERNATIONAL,ARGO,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1001258,ASTA FUNDING INC,2021,100,29-Apr-21,AAER-4215,"Asta Funding, Inc. Release No. 34-91718, AAER-4215",https://www.sec.gov/files/litigation/admin/2021/34-91718.pdf,SEC AAER index + company-name candidate matching,ASTA FUNDING,ASTA | FUNDING,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,8818,AVERY DENNISON CORP,2009,100,28-Jul-09,AAER-3020,"Avery Dennison Corporation Release No. LR-21156, AAER-3020 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21156 | https://www.sec.gov/files/litigation/complaints/2009/comp21156.pdf,SEC AAER index + company-name candidate matching,AVERY DENNISON,AVERY | DENNISON,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,8818,AVERY DENNISON CORP,2009,100,28-Jul-09,AAER-3021,"Avery Dennison Corporation Release No. 34-60393, AAER-3021",https://www.sec.gov/files/litigation/admin/2009/34-60393.pdf,SEC AAER index + company-name candidate matching,AVERY DENNISON,AVERY | DENNISON,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1092492,AXESSTEL INC,2018,100,2-Jul-18,AAER-3945,"Axesstel, Inc., et al. Release No. LR-24181, AAER-3945 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-24181 | https://www.sec.gov/files/litigation/complaints/2018/comp24181.pdf,SEC AAER index + company-name candidate matching,AXESSTEL,AXESSTEL,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
0,LIKELY COMPANY MATCH,,1295401,"BANCORP, INC.",2009,100,6-Jul-09,AAER-3007,"Doral Financial Corporation and First BanCorp Release No. LR-21117, AAER-3007",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21117,SEC AAER index + company-name candidate matching,BANCORP,BANCORP,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
