feature,median_low_threshold_original_scale,median_high_threshold_original_scale,mean_low_threshold_original_scale,mean_high_threshold_original_scale,mean_low_exceedance_weight,mean_high_exceedance_weight,threshold_note
tata,6.604643095614631,12.998599827901739,6.846890911306347,13.276496164675525,0.1406816840171814,0.03853951767086983,Cutpoints are context-dependent; values are summarized across temporal test observations.
accruals_to_assets,1.33191600576661,12.874112919543222,1.4179867032981144,11.624491792135851,0.12272017449140549,0.03842868655920029,Cutpoints are context-dependent; values are summarized across temporal test observations.
wc_accruals_to_assets,-26.696922294864528,30.195347209436726,-30.271455470693287,15.449131325359096,0.020838404074311256,0.11107748001813889,Cutpoints are context-dependent; values are summarized across temporal test observations.
dsri,-112.0905736610325,-94.68510430490446,-118.05563757557128,-99.00608957027407,0.0967242494225502,0.00696066627278924,Cutpoints are context-dependent; values are summarized across temporal test observations.
gmi,-34.83308872168369,-27.546573389785404,-35.21022122850769,-27.072489906877646,0.09077689051628113,0.014440610073506832,Cutpoints are context-dependent; values are summarized across temporal test observations.
aqi,-1.6570916256570687,6.691970905018903,1.9326025031435587,9.965827114476836,0.08521045744419098,0.07970262318849564,Cutpoints are context-dependent; values are summarized across temporal test observations.
sgi,-38.88816611392146,0.01519787839880049,-42.66166407058317,-6.215881079218729,0.4064349830150604,0.016030414029955864,Cutpoints are context-dependent; values are summarized across temporal test observations.
sgai,-22.11648282548067,19.118413401302803,-15.95087792554097,22.621398712961568,0.034917764365673065,0.0071102469228208065,Cutpoints are context-dependent; values are summarized across temporal test observations.
lvgi,-7.910614742736403,56.61862582442617,0.9227363139858887,58.99798402211896,0.08796479552984238,0.013783679343760014,Cutpoints are context-dependent; values are summarized across temporal test observations.
leverage,34.331783384513386,192.53934356279314,51.773028746818554,201.39639226596165,0.24607908725738525,0.09670422226190567,Cutpoints are context-dependent; values are summarized across temporal test observations.
roa,-39.826000244922334,-22.179562191465454,-39.028042786601304,-21.734396955456273,0.46717870235443115,0.0965127944946289,Cutpoints are context-dependent; values are summarized across temporal test observations.
current_ratio,10.969625355395173,20.475613698449298,10.511013623165631,18.50592472437878,1.5488715171813965,0.03288405388593674,Cutpoints are context-dependent; values are summarized across temporal test observations.
gross_margin_change,7.072438828764895,13.935840503221911,8.61527607512896,16.16141462234453,0.018146900460124016,0.01215334702283144,Cutpoints are context-dependent; values are summarized across temporal test observations.
rev_growth_yoy,-3.0309053241949417,44.130150913046585,-4.30445017407152,37.61612407825718,0.45888379216194153,0.04208284243941307,Cutpoints are context-dependent; values are summarized across temporal test observations.
assets_growth_yoy,-1.1085016303021629,110.71122642137058,-1.5441478701023519,102.07557574692983,0.18101100623607635,0.004459851421415806,Cutpoints are context-dependent; values are summarized across temporal test observations.
ar_growth_yoy,-7.254210760131694,-0.7891421442849438,-6.398382049428735,-0.5695063598656366,0.2666812539100647,0.03947839140892029,Cutpoints are context-dependent; values are summarized across temporal test observations.
inventory_growth_yoy,-2.418683338416927,-0.6363193485075772,-2.9287231640128737,-1.2718876379866086,0.3375915586948395,0.009483888745307922,Cutpoints are context-dependent; values are summarized across temporal test observations.
cash_to_assets,-0.2104233948369033,0.5787925964388,-0.026572066139584138,0.6054513445583016,0.18852263689041138,0.279011070728302,Cutpoints are context-dependent; values are summarized across temporal test observations.
receivables_to_revenue,-12.65735582702643,-1.533165333452736,-11.952696933119991,-1.919962984732113,0.13981473445892334,0.012470012530684471,Cutpoints are context-dependent; values are summarized across temporal test observations.
inventory_to_revenue,-12.71494724546854,-0.2298469733001436,-8.499856726198509,1.7228231241899405,0.08513012528419495,0.029773954302072525,Cutpoints are context-dependent; values are summarized across temporal test observations.
loss_indicator,0.27321635082127593,0.7699933258317141,0.35905742062997387,0.8002953391975769,0.35172930359840393,0.5620789527893066,Cutpoints are context-dependent; values are summarized across temporal test observations.
