label_window_years,seed,metric,deepcut_minus_logistic
0,20260531,roc_auc,-0.06458383137455076
0,20260531,pr_auc,-7.887747104945149e-05
0,20260531,recall_top_0p02,0.0
0,20260531,recall_top_0p05,0.0
0,20260531,recall_top_0p1,0.0
0,20260532,roc_auc,-0.05470107835345961
0,20260532,pr_auc,-9.240591536701336e-05
0,20260532,recall_top_0p02,0.0
0,20260532,recall_top_0p05,0.0
0,20260532,recall_top_0p1,0.0
0,20260533,roc_auc,-0.07019042942459824
0,20260533,pr_auc,-9.477024830915805e-05
0,20260533,recall_top_0p02,0.0
0,20260533,recall_top_0p05,0.0
0,20260533,recall_top_0p1,0.027777777777777776
0,20260534,roc_auc,-0.06016176378739624
0,20260534,pr_auc,-8.83638107144661e-05
0,20260534,recall_top_0p02,0.0
0,20260534,recall_top_0p05,0.0
0,20260534,recall_top_0p1,0.0
0,20260535,roc_auc,-0.02262507026419347
0,20260535,pr_auc,-4.328047514163863e-05
0,20260535,recall_top_0p02,0.0
0,20260535,recall_top_0p05,0.0
0,20260535,recall_top_0p1,0.0
1,20260531,roc_auc,0.05115236395613498
1,20260531,pr_auc,0.0013729537657273462
1,20260531,recall_top_0p02,0.06666666666666668
1,20260531,recall_top_0p05,0.10666666666666667
1,20260531,recall_top_0p1,0.17333333333333334
1,20260532,roc_auc,0.07142199462031862
1,20260532,pr_auc,0.001757581970468174
1,20260532,recall_top_0p02,0.04
1,20260532,recall_top_0p05,0.013333333333333336
1,20260532,recall_top_0p1,0.07999999999999999
1,20260533,roc_auc,0.05234248913718187
1,20260533,pr_auc,0.0006413018386854071
1,20260533,recall_top_0p02,0.04
1,20260533,recall_top_0p05,0.0
1,20260533,recall_top_0p1,0.10666666666666669
1,20260534,roc_auc,0.052449306848748156
1,20260534,pr_auc,0.0018315620541715875
1,20260534,recall_top_0p02,0.04
1,20260534,recall_top_0p05,0.0
1,20260534,recall_top_0p1,0.026666666666666672
1,20260535,roc_auc,0.017240326919097937
1,20260535,pr_auc,0.00011433185756308008
1,20260535,recall_top_0p02,-0.013333333333333332
1,20260535,recall_top_0p05,0.0
1,20260535,recall_top_0p1,0.0
2,20260531,roc_auc,0.04501492265204565
2,20260531,pr_auc,0.0011372676200986434
2,20260531,recall_top_0p02,0.0
2,20260531,recall_top_0p05,0.10434782608695653
2,20260531,recall_top_0p1,0.13043478260869565
2,20260532,roc_auc,0.051132197141062985
2,20260532,pr_auc,0.0014226699082892855
2,20260532,recall_top_0p02,0.043478260869565216
2,20260532,recall_top_0p05,0.06956521739130433
2,20260532,recall_top_0p1,0.11304347826086955
2,20260533,roc_auc,0.08109212205513949
2,20260533,pr_auc,0.001280611395534194
2,20260533,recall_top_0p02,-0.04347826086956522
2,20260533,recall_top_0p05,0.060869565217391314
2,20260533,recall_top_0p1,0.17391304347826084
2,20260534,roc_auc,0.04162972578782831
2,20260534,pr_auc,0.0013652265285527924
2,20260534,recall_top_0p02,0.02608695652173912
2,20260534,recall_top_0p05,0.060869565217391314
2,20260534,recall_top_0p1,0.11304347826086955
2,20260535,roc_auc,0.04104252618216453
2,20260535,pr_auc,0.0011185081756161204
2,20260535,recall_top_0p02,0.0
2,20260535,recall_top_0p05,0.06956521739130433
2,20260535,recall_top_0p1,0.11304347826086955
3,20260531,roc_auc,0.06117324220772513
3,20260531,pr_auc,0.0027009529050765887
3,20260531,recall_top_0p02,-0.04878048780487804
3,20260531,recall_top_0p05,0.07317073170731705
3,20260531,recall_top_0p1,0.09756097560975607
3,20260532,roc_auc,0.08436427386175094
3,20260532,pr_auc,0.001233774976316636
3,20260532,recall_top_0p02,-0.008130081300812997
3,20260532,recall_top_0p05,0.08130081300813011
3,20260532,recall_top_0p1,0.12195121951219512
3,20260533,roc_auc,0.0736515531511327
3,20260533,pr_auc,0.003011881224480115
3,20260533,recall_top_0p02,-0.008130081300812997
3,20260533,recall_top_0p05,0.03252032520325204
3,20260533,recall_top_0p1,0.06504065040650409
3,20260534,roc_auc,0.0952940429916882
3,20260534,pr_auc,0.027351192409795094
3,20260534,recall_top_0p02,0.024390243902439032
3,20260534,recall_top_0p05,0.05691056910569106
3,20260534,recall_top_0p1,0.10569105691056913
3,20260535,roc_auc,0.06848659003831425
3,20260535,pr_auc,0.005591886300880567
3,20260535,recall_top_0p02,-0.07317073170731707
3,20260535,recall_top_0p05,0.008130081300812997
3,20260535,recall_top_0p1,0.07317073170731708
