subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,label_window_years,seed,deterministic_comparator_reused,mature_max_fy,best_epoch,best_validation_pr_auc,compatible_prior_cache_reused
"Mature test, AAER window=0",Logistic regression,51627,36,0.0006973095473298855,0.78,0.5466629623168555,0.0007369245774325286,0.14211168227198293,0.4341998223423044,0.22472925427843307,0.22542656382576295,0.003093289164753676,0.9221725066341255,0.4614079975189471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,deterministic_reuse,1,2022,,,
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.86,0.48207913094230476,0.0006580471063830771,0.1769396671640819,0.48134161197876785,0.2898730949880921,0.29057040453542204,0.0023997954934356705,0.9834970073798593,0.4920916438913764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260531,0,2022,16.0,0.003021147455628684,1.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.9500000000000001,0.4919618839633959,0.0006445186620655152,0.17751923797584332,0.4995276875013649,0.2578105116017403,0.25850782114907017,0.002697440813319832,0.9896953144672361,0.49519296001240526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260532,0,2022,44.0,0.0038816646721595628,0.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.87,0.47647253289225727,0.0006421543291233705,0.19512947838301276,0.5233437087018316,0.29635833238716924,0.2970556419344992,0.0023474038156246916,0.9768338272609294,0.48875772906127035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019369709648052374,0.027777777777777776,0.27777777777777773,1.0,0,20260533,0,2022,28.0,0.0018898337493383434,0.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.9500000000000001,0.4865011985294593,0.0006485607667180625,0.14544069702272103,0.40582266903007147,0.2161116474959105,0.2168089570432404,0.0032162395725690153,0.9944215236213609,0.49755771355468975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260534,0,2022,74.0,0.003444701955899159,0.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.9400000000000001,0.524037892052662,0.0006936441022908899,0.22670516008109437,0.6152769431489202,0.31732431935433136,0.31802162890166125,0.0021926481847733314,0.9924070738179634,0.4965497858153554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260535,0,2022,29.0,0.003804786251012855,0.0
"Mature test, AAER window=1",Logistic regression,51627,75,0.0014527282236039283,0.8,0.6201484585143803,0.0024997233309921995,0.15661010763093972,0.47099931434609754,0.2609509114083991,0.262403639632003,0.005536235037140666,0.9397408332849091,0.5171527777777778,0.0022950819672131148,0.09333333333333334,0.00448,0.011621825788831426,0.04,8.0,3.0,0.005810912894415713,0.04,4.0,3.0,0.0029054564472078565,0.04,2.0,3.0,0.0027117593507273324,0.09333333333333334,1.8666666666666665,7.0,0.002130668061285761,0.14666666666666667,1.4666666666666661,11.0,1,deterministic_reuse,1,2022,,,
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.9500000000000001,0.6713008224705153,0.0038726770967195457,0.1998985569945456,0.5503879681964315,0.34675121179421126,0.34820394001781513,0.004172061417597982,0.9948863966529141,0.4981668994413408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005810912894415713,0.04,4.0,3.0,0.00774788385922095,0.10666666666666667,5.333333333333333,8.0,0.005810912894415712,0.2,3.9999999999999996,15.0,0.00464873031553257,0.32,3.1999999999999997,24.0,1,20260531,0,2022,2.0,0.0055298529976179015,0.0
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.87,0.6915704531346989,0.0042573053014603734,0.19859233259586592,0.5353133895395641,0.2958541426241633,0.29730687084776725,0.004886292131296831,0.9666647296957018,0.5372912787088765,0.0048134777376654635,0.10666666666666667,0.009211283822682787,0.003873941929610475,0.013333333333333334,2.6666666666666665,1.0,0.00774788385922095,0.05333333333333334,5.333333333333333,4.0,0.005810912894415713,0.08,4.0,6.0,0.00309915354368838,0.10666666666666667,2.133333333333333,8.0,0.0032928506401689035,0.22666666666666666,2.266666666666666,17.0,1,20260532,0,2022,28.0,0.0037373592103244514,1.0
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.97,0.6724909476515621,0.0031410251696776066,0.2462694213290207,0.6495301232883507,0.37435335071113013,0.3758060789347341,0.0038656325829583564,0.9980049199062506,0.4997284295468653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019369709648052375,0.013333333333333334,1.3333333333333333,1.0,0.005810912894415713,0.08,4.0,6.0,0.0027117593507273324,0.09333333333333334,1.8666666666666665,7.0,0.003680244833129951,0.25333333333333335,2.5333333333333328,19.0,1,20260533,0,2022,6.0,0.005751840704548178,0.0
