model,label_window_years,metric,runs,mean,sd,minimum,maximum,mature_test_max_fy
DeepCut-inspired neural threshold,0,roc_auc,5,0.4922105276760158,0.018681334707086758,0.47647253289225727,0.524037892052662,2022
DeepCut-inspired neural threshold,0,pr_auc,5,0.000657384993316183,2.1157409836828643e-05,0.0006421543291233705,0.0006936441022908899,2022
DeepCut-inspired neural threshold,0,brier,5,0.18434684812535068,0.029688646360102197,0.14544069702272103,0.22670516008109437,2022
DeepCut-inspired neural threshold,0,recall_top_0p02,5,0.0,0.0,0.0,0.0,2022
DeepCut-inspired neural threshold,0,recall_top_0p05,5,0.0,0.0,0.0,0.0,2022
DeepCut-inspired neural threshold,0,recall_top_0p1,5,0.005555555555555555,0.01242259987499883,0.0,0.027777777777777776,2022
DeepCut-inspired neural threshold,1,roc_auc,5,0.6690697548106767,0.01961564635414264,0.6373887854334782,0.6915704531346989,2022
DeepCut-inspired neural threshold,1,pr_auc,5,0.0036432696283153184,0.0007440707519061892,0.0026140551885552796,0.004331285385163787,2022
DeepCut-inspired neural threshold,1,brier,5,0.2110435460687076,0.02096290192202867,0.19600801022675288,0.2462694213290207,2022
DeepCut-inspired neural threshold,1,recall_top_0p02,5,0.07466666666666667,0.02921186973360886,0.02666666666666667,0.10666666666666667,2022
DeepCut-inspired neural threshold,1,recall_top_0p05,5,0.11733333333333333,0.046571331190861286,0.09333333333333334,0.2,2022
DeepCut-inspired neural threshold,1,recall_top_0p1,5,0.22400000000000003,0.06824791409103854,0.14666666666666667,0.32,2022
DeepCut-inspired neural threshold,2,roc_auc,5,0.6798015658656151,0.016759349674624602,0.6688617932841314,0.7089113891571064,2022
DeepCut-inspired neural threshold,2,pr_auc,5,0.005540854259177947,0.00013502239214761746,0.00539450570917586,0.005698667441849025,2022
DeepCut-inspired neural threshold,2,brier,5,0.1979610790463189,0.024490956837246506,0.16435349465064125,0.2291377359264638,2022
DeepCut-inspired neural threshold,2,recall_top_0p02,5,0.08347826086956521,0.032882905045546154,0.034782608695652174,0.12173913043478261,2022
DeepCut-inspired neural threshold,2,recall_top_0p05,5,0.16869565217391305,0.018031688133328456,0.1565217391304348,0.2,2022
DeepCut-inspired neural threshold,2,recall_top_0p1,5,0.2852173913043478,0.02637521893583147,0.26956521739130435,0.33043478260869563,2022
DeepCut-inspired neural threshold,3,roc_auc,5,0.7604795712449203,0.013437416273163548,0.7450588730025232,0.7791796737864862,2022
DeepCut-inspired neural threshold,3,pr_auc,5,0.015090856736443309,0.010943128615908519,0.008346694149450143,0.0344641115829286,2022
DeepCut-inspired neural threshold,3,brier,5,0.2067671308666526,0.026216425284347887,0.17771568213400912,0.23577822907903498,2022
DeepCut-inspired neural threshold,3,recall_top_0p02,5,0.0910569105691057,0.03830640321752763,0.04065040650406504,0.13821138211382114,2022
DeepCut-inspired neural threshold,3,recall_top_0p05,5,0.22926829268292687,0.030092285403775204,0.18699186991869918,0.2601626016260163,2022
DeepCut-inspired neural threshold,3,recall_top_0p1,5,0.32845528455284556,0.023422537058354356,0.3008130081300813,0.35772357723577236,2022
Logistic regression,0,roc_auc,1,0.5466629623168555,0.0,0.5466629623168555,0.5466629623168555,2022
Logistic regression,0,pr_auc,1,0.0007369245774325286,0.0,0.0007369245774325286,0.0007369245774325286,2022
Logistic regression,0,brier,1,0.14211168227198293,0.0,0.14211168227198293,0.14211168227198293,2022
Logistic regression,0,recall_top_0p02,1,0.0,0.0,0.0,0.0,2022
Logistic regression,0,recall_top_0p05,1,0.0,0.0,0.0,0.0,2022
Logistic regression,0,recall_top_0p1,1,0.0,0.0,0.0,0.0,2022
Logistic regression,1,roc_auc,1,0.6201484585143803,0.0,0.6201484585143803,0.6201484585143803,2022
Logistic regression,1,pr_auc,1,0.0024997233309921995,0.0,0.0024997233309921995,0.0024997233309921995,2022
Logistic regression,1,brier,1,0.15661010763093972,0.0,0.15661010763093972,0.15661010763093972,2022
Logistic regression,1,recall_top_0p02,1,0.04,0.0,0.04,0.04,2022
Logistic regression,1,recall_top_0p05,1,0.09333333333333334,0.0,0.09333333333333334,0.09333333333333334,2022
Logistic regression,1,recall_top_0p1,1,0.14666666666666667,0.0,0.14666666666666667,0.14666666666666667,2022
Logistic regression,2,roc_auc,1,0.6278192671019669,0.0,0.6278192671019669,0.6278192671019669,2022
Logistic regression,2,pr_auc,1,0.00427599753355974,0.0,0.00427599753355974,0.00427599753355974,2022
Logistic regression,2,brier,1,0.16783136266744014,0.0,0.16783136266744014,0.16783136266744014,2022
Logistic regression,2,recall_top_0p02,1,0.0782608695652174,0.0,0.0782608695652174,0.0782608695652174,2022
Logistic regression,2,recall_top_0p05,1,0.09565217391304348,0.0,0.09565217391304348,0.09565217391304348,2022
Logistic regression,2,recall_top_0p1,1,0.1565217391304348,0.0,0.1565217391304348,0.1565217391304348,2022
Logistic regression,3,roc_auc,1,0.683885630794798,0.0,0.683885630794798,0.683885630794798,2022
Logistic regression,3,pr_auc,1,0.007112919173133507,0.0,0.007112919173133507,0.007112919173133507,2022
Logistic regression,3,brier,1,0.1763097649772021,0.0,0.1763097649772021,0.1763097649772021,2022
Logistic regression,3,recall_top_0p02,1,0.11382113821138211,0.0,0.11382113821138211,0.11382113821138211,2022
Logistic regression,3,recall_top_0p05,1,0.17886178861788618,0.0,0.17886178861788618,0.17886178861788618,2022
Logistic regression,3,recall_top_0p1,1,0.23577235772357724,0.0,0.23577235772357724,0.23577235772357724,2022
