model,calibration_method,n,observed_rate,mean_probability,min_probability,max_probability
Logistic regression,isotonic,5163,0.0013558008909548712,0.00031453401676170205,0.0,0.0003705075954057
Logistic regression,isotonic,5163,0.0003873716831299632,0.00037947141614808,0.0003705075954057,0.0004078303425774
Logistic regression,isotonic,5162,0.0013560635412630763,0.0009202854319915729,0.0004078303425774,0.0011240164855751
Logistic regression,isotonic,5163,0.0003873716831299632,0.001322781917582078,0.0011240164855751,0.0034013605442176
Logistic regression,isotonic,5163,0.0015494867325198528,0.0034959801772642108,0.0034013605442176,0.0035024079054349
Logistic regression,isotonic,5162,0.0032932971716389,0.0035024079054349,0.0035024079054349,0.0035024079054349
Logistic regression,isotonic,5163,0.0003873716831299632,0.0035024079054348997,0.0035024079054349,0.0035024079054349
Logistic regression,isotonic,5162,0.005424254165052305,0.004709584929335485,0.0035024079054349,0.0051911750024957
Logistic regression,isotonic,5163,0.003873716831299632,0.0051911750024957,0.0051911750024957,0.0051911750024957
Logistic regression,isotonic,5163,0.005810575246949448,0.010373314171627509,0.0051911750024957,0.0629921259842519
Random forest,isotonic,5163,0.0003873716831299632,0.000184467810367,0.000184467810367,0.000184467810367
Random forest,isotonic,5163,0.0007747433662599264,0.000184467810367,0.000184467810367,0.000184467810367
Random forest,isotonic,5162,0.0009686168151879117,0.00033917103732448544,0.000184467810367,0.0006138735420503
Random forest,isotonic,5163,0.0011621150493898896,0.0008860540309905576,0.0006138735420503,0.0014541929229277
Random forest,isotonic,5163,0.0025179159403447607,0.0019183385938859694,0.0014541929229277,0.0028001400070003
Random forest,isotonic,5162,0.0030995738086013174,0.003109712898521236,0.0028001400070003,0.0034246575342465
Random forest,isotonic,5163,0.003486345148169669,0.0035268660085820028,0.0034246575342465,0.0043660495983234
Random forest,isotonic,5162,0.0025184037194885705,0.0043660495983234,0.0043660495983234,0.0043660495983234
Random forest,isotonic,5163,0.004454774355994577,0.0056650290945219626,0.0043660495983234,0.005973715651135
Random forest,isotonic,5163,0.004454774355994577,0.013581589309885555,0.005973715651135,0.16
Extra trees,isotonic,5163,0.0,0.0001590027421999223,0.0,0.0001989653800238
Extra trees,isotonic,5163,0.0015494867325198528,0.0001989653800238,0.0001989653800238,0.0001989653800238
Extra trees,isotonic,5162,0.0,0.0001989653800238,0.0001989653800238,0.0001989653800238
Extra trees,isotonic,5163,0.002324230098779779,0.0005639883096967962,0.0001989653800238,0.0016138402943644
Extra trees,isotonic,5163,0.0017431725740848344,0.0016138402943644001,0.0016138402943644,0.0016138402943644
Extra trees,isotonic,5162,0.002324680356450988,0.0016138402943644001,0.0016138402943644,0.0016138402943644
Extra trees,isotonic,5163,0.0030989734650397056,0.0016138402943644001,0.0016138402943644,0.0016138402943644
Extra trees,isotonic,5162,0.004649360712901976,0.004883937326457103,0.0016138402943644,0.0061613144137415
Extra trees,isotonic,5163,0.0032926593066046872,0.006662188551475765,0.0061613144137415,0.0089136490250696
Extra trees,isotonic,5163,0.00484214603912454,0.014923691569974978,0.0089136490250696,0.3571428571428571
Gradient boosting,isotonic,5163,0.000968429207824908,0.0004336243074311619,0.0,0.0017001381362235
Gradient boosting,isotonic,5163,0.0017431725740848344,0.0017001381362235,0.0017001381362235,0.0017001381362235
Gradient boosting,isotonic,5162,0.00019372336303758234,0.001731985523721749,0.0017001381362235,0.0020408163265306
Gradient boosting,isotonic,5163,0.0015494867325198528,0.0026159868691187395,0.0020408163265306,0.0028020438437448
