model,calibration_method,n,observed_rate,mean_probability,min_probability,max_probability
Logistic regression,raw,7593,0.0014487027525352297,1.4745910404960472e-05,2.670302947346131e-15,3.728855596715946e-05
Logistic regression,raw,7592,0.00013171759747102212,7.370059666942111e-05,3.729524902380124e-05,0.00012784475653818922
Logistic regression,raw,7592,0.0009220231822971549,0.029755442495239853,0.00012786565501072983,0.0947352232991892
Logistic regression,raw,7592,0.0005268703898840885,0.13266847469722454,0.09476189153180578,0.17755064441675308
Logistic regression,raw,7593,0.0013170025023047543,0.24480348463997845,0.17758021133138235,0.30951290426348776
Logistic regression,raw,7592,0.001975763962065332,0.358376594551946,0.30958175243244246,0.40310425802747896
Logistic regression,raw,7592,0.0040832455216016856,0.4482993402750813,0.4031163036093494,0.49403316136359243
Logistic regression,raw,7592,0.0025026343519494202,0.5397114090178574,0.49407067465063426,0.5866099458027266
Logistic regression,raw,7592,0.003819810326659642,0.6410410249705225,0.5866313686970389,0.7044211667248125
Logistic regression,raw,7593,0.005268010009219017,0.8196722175478216,0.7044587460314599,0.999997819529834
Logistic regression,platt,7593,0.0014487027525352297,0.00019133006377784376,9.805251349591299e-05,0.000269297539198055
Logistic regression,platt,7592,0.00013171759747102212,0.00032191940390105517,0.0002693110327718335,0.00037985482922787023
Logistic regression,platt,7592,0.0009220231822971549,0.0013422554744833603,0.0003798721628272989,0.0024667755240657245
Logistic regression,platt,7592,0.0005268703898840885,0.002735378433351178,0.0024669891739706965,0.0030178915001608806
Logistic regression,platt,7593,0.0013170025023047543,0.0033746550207711832,0.003018061607858012,0.0036983851336911773
Logistic regression,platt,7592,0.001975763962065332,0.003931706508651014,0.0036987165915473475,0.0041449623846510275
Logistic regression,platt,7592,0.0040832455216016856,0.004364941446367867,0.004145020088406372,0.0045923573424248125
Logistic regression,platt,7592,0.0025026343519494202,0.0048348128980900676,0.004592548912106109,0.005095092371592129
Logistic regression,platt,7592,0.003819810326659642,0.005440415276422229,0.005095217422111114,0.0058841457220533
Logistic regression,platt,7593,0.005268010009219017,0.00820434581756377,0.005884440547410561,0.15033754088392534
Logistic regression,isotonic,7593,0.0014487027525352297,0.0003146856078821127,0.0,0.0003705075954057058
Logistic regression,isotonic,7592,0.00026343519494204424,0.0003790664603722591,0.0003705075954057058,0.0004078303425774878
Logistic regression,isotonic,7592,0.001053740779768177,0.0008640861293269626,0.0004078303425774878,0.0011240164855751218
Logistic regression,isotonic,7592,0.00026343519494204424,0.0014425436180416824,0.0011240164855751218,0.0035024079054349865
Logistic regression,isotonic,7593,0.0015804030027657052,0.0035024079054349865,0.0035024079054349865,0.0035024079054349865
Logistic regression,isotonic,7592,0.0026343519494204425,0.0035024079054349865,0.0035024079054349865,0.0035024079054349865
Logistic regression,isotonic,7592,0.0009220231822971549,0.0035024079054349865,0.0035024079054349865,0.0035024079054349865
Logistic regression,isotonic,7592,0.004478398314014752,0.004793258341763164,0.0035024079054349865,0.005191175002495757
Logistic regression,isotonic,7592,0.0036880927291886197,0.005191175002495757,0.005191175002495757,0.005191175002495757
Logistic regression,isotonic,7593,0.0056631107599104434,0.010682433193564026,0.005191175002495757,0.06299212598425197
Random forest,raw,7593,0.000921901751613328,0.0,0.0,0.0
Random forest,raw,7592,0.00013171759747102212,0.000276794492937181,0.0,0.0018755647093062302
Random forest,raw,7592,0.0011854583772391992,0.0019486918442203492,0.0018756569268697917,0.0019847858295924457
Random forest,raw,7592,0.0015806111696522655,0.003376466089364598,0.001984806791811825,0.003935443362982417
Random forest,raw,7593,0.0022389042539180826,0.005165081555973649,0.003935518536942915,0.005910977141294519
Random forest,raw,7592,0.0027660695468914647,0.007427984620015734,0.005910989830800782,0.00933893938549095
Random forest,raw,7592,0.002897787144362487,0.010587395242491826,0.009340149711401203,0.011833210662590172
Random forest,raw,7592,0.002897787144362487,0.014622127871205565,0.01183340523666657,0.0175889463277259
Random forest,raw,7592,0.003161222339304531,0.02117848231456773,0.017589132211309894,0.025787898291416648
Random forest,raw,7593,0.004214408007375214,0.046689261526147684,0.02579220035956559,0.403301954730949
Random forest,platt,7593,0.000921901751613328,1.8044834176242475e-06,1.8044834176242475e-06,1.8044834176242475e-06
Random forest,platt,7592,0.00013171759747102212,0.00013714833517206265,1.8044834176242475e-06,0.0008731659142571386
Random forest,platt,7592,0.0011854583772391992,0.0009010086304960327,0.0008732011598536679,0.0009146991125874868
Random forest,platt,7592,0.0015806111696522655,0.0014089476984376478,0.0009147070441606132,0.0016050503671697907
Random forest,platt,7593,0.0022389042539180826,0.002003034818931543,0.0016050755711456842,0.002242901917315873
Random forest,platt,7592,0.0027660695468914647,0.0027045744450491667,0.0022429058808961433,0.003269688423785646
Random forest,platt,7592,0.002897787144362487,0.0036246122649452313,0.0032700380882111336,0.003975685005364489
Random forest,platt,7592,0.002897787144362487,0.004733132538255742,0.003975739046679932,0.0055207307660479045
Random forest,platt,7592,0.003161222339304531,0.006436397891294672,0.0055207792047369175,0.007592157727852643
Random forest,platt,7593,0.004214408007375214,0.012405149389927761,0.007593215885701772,0.09834600272678383
Random forest,isotonic,7593,0.0002634005004609509,0.00018446781036709093,0.00018446781036709093,0.00018446781036709093
Random forest,isotonic,7592,0.0007903055848261328,0.00018446781036709093,0.00018446781036709093,0.00018446781036709093
Random forest,isotonic,7592,0.0009220231822971549,0.0003800884121097838,0.00018446781036709093,0.0006138735420503376
Random forest,isotonic,7592,0.0013171759747102212,0.000971861784585792,0.0006138735420503376,0.001454192922927775
Random forest,isotonic,7593,0.0026340050046095085,0.0020275313686938935,0.001454192922927775,0.00280014000700035
Random forest,isotonic,7592,0.0023709167544783984,0.0031566278234403055,0.00280014000700035,0.003424657534246575
Random forest,isotonic,7592,0.0035563751317175974,0.0035815837405385096,0.003424657534246575,0.004366049598323437
Random forest,isotonic,7592,0.0023709167544783984,0.004366049598323436,0.004366049598323437,0.004366049598323437
Random forest,isotonic,7592,0.0035563751317175974,0.005731512695491232,0.004366049598323437,0.005973715651135006
Random forest,isotonic,7593,0.004214408007375214,0.013846832593145572,0.005973715651135006,0.16
Extra trees,raw,7593,0.0006585012511523771,0.0060829988621624465,0.0,0.01365894009888592
Extra trees,raw,7592,0.0006585879873551106,0.021593630208557025,0.013661093472275617,0.028469525739427758
Extra trees,raw,7592,0.001053740779768177,0.037564150450617236,0.02847311893468873,0.04666731351081523
Extra trees,raw,7592,0.0006585879873551106,0.06313113947329162,0.04666763717206028,0.08630312213030936
Extra trees,raw,7593,0.004872909258527592,0.11322639763819471,0.08630887079658513,0.13815179345634548
Extra trees,raw,7592,0.002239199157007376,0.15896717031311922,0.1381530603175766,0.17864847701218672
Extra trees,raw,7592,0.0018440463645943098,0.20105255064037753,0.1786524415720909,0.2257185387254834
Extra trees,raw,7592,0.002239199157007376,0.25241245566608267,0.22572208911194197,0.28110036434974317
Extra trees,raw,7592,0.002107481559536354,0.3163074196873849,0.2811235686725965,0.3585765376767377
Extra trees,raw,7593,0.0056631107599104434,0.44635307315548506,0.3585843209864666,0.9311524598963986
Extra trees,platt,7593,0.0006585012511523771,4.3504083780144134e-05,1.4828504931568982e-09,0.00010794926439383967
Extra trees,platt,7592,0.0006585879873551106,0.00018740936602829487,0.00010796951970908803,0.0002602222050951837
Extra trees,platt,7592,0.001053740779768177,0.00036534555154143415,0.0002602618845755911,0.00047520389056264224
Extra trees,platt,7592,0.0006585879873551106,0.0006963119656982075,0.00047520794743545177,0.0010274900443165249
Extra trees,platt,7593,0.004872909258527592,0.0014709719207469938,0.001027577897813647,0.0019101743292798674
Extra trees,platt,7592,0.002239199157007376,0.002321891403630018,0.0019101981453112891,0.0027310435342193344
Extra trees,platt,7592,0.0018440463645943098,0.0032471596015073894,0.002731129930410703,0.003847496295494906
Extra trees,platt,7592,0.002239199157007376,0.004581078456648217,0.003847587706880734,0.005422636807041996
