subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1
Cold-start fold 1,Logistic regression,15039,45,0.002992220227408737,0.99,0.6205800838854059,0.022360620186534882,0.1791296046315635,0.5242473144900777,0.31902808286095896,0.32202030308836765,0.009292023511286563,0.9940155595451825,0.5317326930772309,0.058823529411764705,0.06666666666666667,0.0625,0.07979253939756632,0.13333333333333333,26.666666666666668,6.0,0.06649378283130526,0.2222222222222222,22.22222222222222,10.0,0.03989626969878316,0.26666666666666666,13.333333333333334,12.0,0.01994813484939158,0.3333333333333333,6.666666666666667,15.0,0.00997406742469579,0.3333333333333333,3.3333333333333335,15.0
Cold-start fold 1,DeepCut-inspired neural threshold,15039,45,0.002992220227408737,0.99,0.7231514828153484,0.010833238839502417,0.21994975457490068,0.6113035152132009,0.36751808501728955,0.3705103052446983,0.008075943327494136,0.9956114103331338,0.4992997198879552,0.0,0.0,0.0,0.03989626969878316,0.06666666666666667,13.333333333333334,3.0,0.026597513132522108,0.08888888888888889,8.88888888888889,4.0,0.013298756566261054,0.08888888888888889,4.444444444444445,4.0,0.01462863222288716,0.24444444444444444,4.888888888888889,11.0,0.011303943081321896,0.37777777777777777,3.7777777777777777,17.0
Cold-start fold 2,Logistic regression,15363,19,0.0012367376163509732,0.8,0.6106209867735031,0.0016666683887610273,0.15900931901515722,0.4682245177804203,0.2710069646068997,0.27224370222325067,0.004542759322809969,0.9460391850550023,0.47360531803962463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold-start fold 2,DeepCut-inspired neural threshold,15363,19,0.0012367376163509732,0.93,0.6039116952966358,0.0018150739093901079,0.14087205424101285,0.39797952032514566,0.22843927033062314,0.22967600794697413,0.0053847052959772,0.9945323179066589,0.49788190823774764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold-start fold 3,Logistic regression,15201,40,0.0026314058285639105,0.99,0.7004155398720401,0.0051670203180171,0.17971547282718592,0.5464996142828109,0.31091431918730106,0.31354572501586503,0.008392414944999694,0.9912505756200249,0.49693291999208494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003289257285704888,0.025,1.25,1.0,0.006578514571409775,0.125,2.4999999999999996,5.0,0.005920663114268797,0.225,2.2499999999999996,9.0
Cold-start fold 3,DeepCut-inspired neural threshold,15201,40,0.0026314058285639105,0.9500000000000001,0.7705939581821779,0.00902029339944358,0.15628666756672882,0.44502406543892986,0.2835937880112317,0.2862251938397956,0.009193480815796901,0.9965133872771528,0.49957126838599036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019735543714229326,0.375,7.499999999999999,15.0,0.012499177685678573,0.475,4.749999999999999,19.0
Cold-start fold 4,Logistic regression,15223,25,0.001642251855744597,0.99,0.6857428609027504,0.0026995808137916526,0.1805662149244048,0.517386092823233,0.3201652984751272,0.3218075503308718,0.005103211077726697,0.9969782565854299,0.4993091196210028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006569007422978387,0.04,0.3999999999999999,1.0
Cold-start fold 4,DeepCut-inspired neural threshold,15223,25,0.001642251855744597,0.97,0.6740808001052769,0.002375592519330149,0.24019501997060416,0.6510993471716944,0.37046596509872837,0.372108216954473,0.004413371650821472,0.9974380871050385,0.4995394130806685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold-start fold 5,Logistic regression,15097,38,0.0025170563688149965,0.99,0.4651668350103627,0.0032810817695717517,0.18882104915477857,0.5639709180188195,0.3223645138608854,0.3248815702297004,0.007747612051478841,0.993972312379943,0.49824025499701174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013247665099026297,0.02631578947368421,0.5263157894736842,1.0,0.0046366827846592035,0.18421052631578946,1.8421052631578945,7.0
Cold-start fold 5,DeepCut-inspired neural threshold,15097,38,0.0025170563688149965,0.9500000000000001,0.4917220336850493,0.0033590006719314298,0.20082806424585062,0.5575596926428341,0.33851883882175154,0.34103589519056654,0.007380620058802013,0.9964231304232629,0.49946875622551296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003974299529707889,0.15789473684210525,1.5789473684210527,6.0
