subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,variant,seed,best_epoch,best_val_pr_auc
Temporal test,full_adaptive_two_sided,75923,167,0.0021995969600779736,0.9400000000000001,0.7427215504046556,0.007569743032043421,0.17922756636831927,0.5032169111302515,0.32095852264363317,0.32315811960371116,0.00680656566134046,0.9962725392832211,0.5111840314302489,0.03225806451612903,0.023952095808383235,0.027491408934707903,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.009746717068608985,0.2215568862275449,4.431137724550898,37.0,0.0067173320337710575,0.30538922155688625,3.0538922155688626,51.0,full_adaptive_two_sided,20260531,12,0.0260955959675974
Temporal test,full_adaptive_two_sided,75923,167,0.0021995969600779736,0.93,0.7652066767779189,0.006890852204841895,0.23795910200397566,0.6408942083175365,0.3845900719893793,0.38678966894945727,0.005686803802315104,0.9937700038196594,0.5129174171852714,0.015822784810126583,0.029940119760479042,0.020703933747412008,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.009878429461428025,0.08982035928143713,4.491017964071856,15.0,0.010800416211161307,0.24550898203592814,4.910179640718563,41.0,0.007375893997866259,0.33532934131736525,3.353293413173653,56.0,full_adaptive_two_sided,20260532,8,0.01684474512565229
Temporal test,full_adaptive_two_sided,75923,167,0.0021995969600779736,0.9600000000000001,0.7538668109685903,0.00759870463081768,0.22705979262340342,0.6176153559439763,0.36954804315318013,0.37174764011325806,0.005916909006894667,0.996970614965162,0.5115338387062404,0.056338028169014086,0.023952095808383235,0.03361344537815126,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.006585619640952017,0.029940119760479042,2.9940119760479043,5.0,0.011195553389618428,0.10179640718562874,5.089820359281437,17.0,0.007902743569142421,0.17964071856287425,3.5928143712574854,30.0,0.005927057676856816,0.2694610778443114,2.694610778443114,45.0,full_adaptive_two_sided,20260533,9,0.01986297706882932
Temporal test,full_adaptive_two_sided,75923,167,0.0021995969600779736,0.99,0.776718778505084,0.026180210375699113,0.2164907402002687,0.6003706833659317,0.3616694859179299,0.3638690828780079,0.006045022959027873,0.9976291769292572,0.5118638455703831,0.19047619047619047,0.023952095808383235,0.0425531914893617,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.006585619640952017,0.029940119760479042,2.9940119760479043,5.0,0.013829801245999236,0.12574850299401197,6.287425149700599,21.0,0.009483292282970904,0.2155688622754491,4.311377245508982,36.0,0.0076393187835043395,0.3473053892215569,3.473053892215569,58.0,full_adaptive_two_sided,20260534,8,0.046767131169358434
Temporal test,full_adaptive_two_sided,75923,167,0.0021995969600779736,0.98,0.7472702306459471,0.008889365078169943,0.18271031350215233,0.5113644085632918,0.3121865374181178,0.31438613437819585,0.0069964820949512145,0.9974447795793107,0.5117714436484231,0.11428571428571428,0.023952095808383235,0.039603960396039604,0.015805487138284842,0.03592814371257485,7.185628742514971,6.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.0039513717845712105,0.03592814371257485,1.7964071856287427,6.0,0.0076393187835043395,0.17365269461077845,3.473053892215569,29.0,0.006585619640952017,0.2994011976047904,2.9940119760479043,50.0,full_adaptive_two_sided,20260535,21,0.022536148553713293
Temporal test,fixed_global_two_sided,75923,167,0.0021995969600779736,0.89,0.7195885039678287,0.0067400833641726565,0.2037638048916142,0.6188271434655387,0.3138931380431435,0.3160927350032215,0.006958707735106776,0.9588925622011775,0.5492136667580411,0.007666666666666666,0.1377245508982036,0.014524786864540574,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.009219867497332824,0.08383233532934131,4.1916167664670665,14.0,0.007902743569142421,0.17964071856287425,3.5928143712574854,30.0,0.008429593140418582,0.38323353293413176,3.832335329341318,64.0,fixed_global_two_sided,20260531,39,0.013430630070422587
Temporal test,fixed_global_two_sided,75923,167,0.0021995969600779736,0.8400000000000001,0.7302764580137997,0.006408514063780706,0.1892741172718743,0.5719059567836766,0.2990701502169966,0.3012697471770746,0.007301088080328015,0.9444832264267745,0.5599175876031874,0.007062834875791525,0.17365269461077845,0.01357360168499883,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.009219867497332824,0.08383233532934131,4.1916167664670665,14.0,0.006849044426590098,0.15568862275449102,3.1137724550898205,26.0,0.0076393187835043395,0.3473053892215569,3.473053892215569,58.0,fixed_global_two_sided,20260532,41,0.01375793598075377
Temporal test,fixed_global_two_sided,75923,167,0.0021995969600779736,0.99,0.72259219878001,0.005628925625225274,0.2140849679951086,0.7156900438636556,0.3364928747755872,0.33869247173566525,0.006494378067531018,0.9785045374919327,0.5351419764620925,0.010033444816053512,0.08982035928143713,0.018050541516245487,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.006585619640952017,0.029940119760479042,2.9940119760479043,5.0,0.010536991425523227,0.09580838323353294,4.790419161676647,16.0,0.006849044426590098,0.15568862275449102,3.1137724550898205,26.0,0.005400208105580654,0.24550898203592814,2.4550898203592815,41.0,fixed_global_two_sided,20260533,24,0.014001772367811482
Temporal test,adaptive_high_only,75923,167,0.0021995969600779736,0.9500000000000001,0.7650704847235672,0.008762293619039041,0.20746985955157968,0.566152825302125,0.3529994850273829,0.35519908198746086,0.006192575013906211,0.9974052658614649,0.5117516432365745,0.10526315789473684,0.023952095808383235,0.03902439024390244,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.006585619640952017,0.029940119760479042,2.9940119760479043,5.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.007902743569142421,0.17964071856287425,3.5928143712574854,30.0,0.006453907248132977,0.2934131736526946,2.9341317365269464,49.0,adaptive_high_only,20260531,9,0.0205555077353155
Temporal test,adaptive_high_only,75923,167,0.0021995969600779736,0.9500000000000001,0.7380761603673691,0.006736053545794019,0.1869925732955712,0.5149332779576797,0.30832375421970276,0.3105233511797807,0.007083515464202544,0.995877402104764,0.5139734391505283,0.03205128205128205,0.029940119760479042,0.030959752321981424,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.006585619640952017,0.029940119760479042,2.9940119760479043,5.0,0.0055714342162454305,0.05065868263473076,2.532934131736538,8.460000000000036,0.009483292282970904,0.2155688622754491,4.311377245508982,36.0,0.006849044426590098,0.31137724550898205,3.1137724550898205,52.0,adaptive_high_only,20260532,27,0.015852217313341348
