feature,mean_low_cut_standardized,mean_high_cut_standardized,mean_low_cut_original,mean_high_cut_original,mean_low_exceedance_weight,mean_high_exceedance_weight,seed
tata,-0.22790977,0.53801763,-4.61902543248785,6.246173171542371,0.05493771,0.034187946,20260531
accruals_to_assets,0.24330273,0.8916026,2.0654428836309764,11.262014923803976,0.05337341,0.03237832,20260531
wc_accruals_to_assets,-0.7452824,0.49323744,-28.747389662926203,12.73794627728735,0.07165868,0.09311758,20260531
dsri,-0.57333153,0.30315503,-27.13844895484072,21.97130554863562,0.020384701,0.04563467,20260531
gmi,-0.60712993,-0.04585657,-10.172953157715352,0.788631555769565,0.06543271,0.017412646,20260531
aqi,0.03871587,1.1330855,0.489915830955806,30.099686673584912,0.054689057,0.042159025,20260531
sgi,-1.1389513,-0.32984364,-47.88361270178547,-10.425289706093352,0.38257813,0.014389104,20260531
sgai,-0.58555937,0.4883755,-36.79230464960994,42.74957081729946,0.12160232,0.00818916,20260531
lvgi,-0.9076867,-0.09791042,-30.829703141632,1.5369424738198814,0.14009555,0.08159078,20260531
leverage,-0.44352287,0.5481904,-30.45385204767917,69.08375523380396,0.09423497,0.11524351,20260531
roa,-0.81250566,0.44301397,-22.797779682001263,7.666069013195374,0.26255822,0.09185391,20260531
current_ratio,0.6497472,1.4619265,8.759333602087349,15.86147308639169,0.2591046,0.03048643,20260531
gross_margin_change,-0.13452697,0.64302933,-2.8789569665087806,15.54240725497268,0.034887593,0.012050971,20260531
rev_growth_yoy,-1.2181349,-0.3056711,-52.54948339012656,-10.306201329967742,0.390533,0.015610848,20260531
assets_growth_yoy,-0.40724987,0.8905144,-22.73907175392572,73.48012141025244,0.13140652,0.016944675,20260531
ar_growth_yoy,0.31666985,1.652674,2.1409642937158213,9.181842434304995,0.5725627,0.008229988,20260531
inventory_growth_yoy,-0.2277594,1.0983394,-0.2019113952248224,1.7435004339424005,0.6281749,0.009361624,20260531
cash_to_assets,-0.95531946,-0.30193493,-0.8504143689800867,-0.0377636906778773,0.2866202,0.23664024,20260531
receivables_to_revenue,-0.24541697,0.5266233,-3.4639356581402017,15.530437477935758,0.02968222,0.0103825405,20260531
inventory_to_revenue,-0.81561434,-0.11702562,-17.675137747579875,-0.3792070708126314,0.024048071,0.014372945,20260531
loss_indicator,-1.7425078,0.1328333,-0.4026366245008975,0.5329496510837984,0.55373573,0.49574873,20260531
tata,0.03811802342534065,1.0940502882003784,-0.8452410855305237,14.133872740129958,0.05223320424556732,0.04338260740041733,20260532
accruals_to_assets,-0.545169472694397,0.5256161093711853,-9.119568984132485,6.070249199947351,0.0957721546292305,0.03616812825202942,20260532
wc_accruals_to_assets,-0.8270726203918457,0.4571743905544281,-31.487026251323254,11.52998214903874,0.04687808081507683,0.13483625650405884,20260532
dsri,-0.4764723479747772,0.46693745255470276,-21.711405285020838,31.148074032552838,0.023156512528657913,0.044115763157606125,20260532
gmi,-0.460265189409256,0.12952286005020142,-7.304706740020414,4.213765539686655,0.05705108866095543,0.0234735868871212,20260532
aqi,-0.16155342757701874,0.8830650448799133,-4.928662933663533,23.335017837218356,0.06518033146858215,0.025654984638094902,20260532
sgi,-0.6835171580314636,0.8112027645111084,-26.79890411577203,42.40041796256112,0.28052353858947754,0.024334795773029327,20260532
sgai,-0.2704089879989624,0.8834489583969116,-13.45043105034025,72.0110122288453,0.0598774254322052,0.010910921730101109,20260532
lvgi,-0.9608166217803955,0.662689208984375,-32.95329830387469,31.93800370966323,0.2186981439590454,0.13185039162635803,20260532
leverage,0.017724528908729553,2.4762728214263916,15.841244710391665,262.60411258211377,0.3778344690799713,0.10457643866539001,20260532
roa,-1.0519315004348755,-0.02119857631623745,-28.60719304093737,-3.5975546950976507,0.17440783977508545,0.04030263051390648,20260532
current_ratio,0.6679174900054932,1.4720203876495361,8.9182246129514,15.949739905182117,0.27613431215286255,0.021483195945620537,20260532
gross_margin_change,0.42173466086387634,1.131734848022461,10.299636102092272,27.12050430446162,0.03586452081799507,0.014389329589903355,20260532
rev_growth_yoy,-0.36977630853652954,0.635063648223877,-13.274006329972003,33.24590870987138,0.1955849975347519,0.02137071080505848,20260532
assets_growth_yoy,-0.2806800305843353,0.7993038296699524,-13.35489608032695,66.71756417504804,0.16826213896274567,0.02288971096277237,20260532
ar_growth_yoy,0.3331415057182312,1.7324837446212769,2.2277715940236256,9.602448154292425,0.1074439063668251,0.012506192550063133,20260532
inventory_growth_yoy,-0.8683812618255615,1.5663644075393677,-1.141715650132222,2.43010182498758,0.41976699233055115,0.018058262765407562,20260532
cash_to_assets,-1.2160758972167969,0.24075904488563538,-1.1747316435989426,0.6372149785343513,0.3029654026031494,0.38369888067245483,20260532
receivables_to_revenue,-0.8903818726539612,-0.09560831636190414,-19.331895390379593,0.22178065808980563,0.038713522255420685,0.011836279183626175,20260532
inventory_to_revenue,-0.3757694661617279,0.47461628913879395,-6.785287597808727,14.268892952905542,0.03036484494805336,0.02532561682164669,20260532
loss_indicator,-0.3561404347419739,0.7038331031799316,0.28900623567174855,0.8178149336578964,0.49067723751068115,0.7015860080718994,20260532
tata,0.5496870875358582,1.2715930938720703,6.411712316334309,16.652437598691197,0.05078914016485214,0.03852589800953865,20260533
accruals_to_assets,0.7245638966560364,1.4461619853973389,8.892458209478812,19.128815472354777,0.03359922766685486,0.03955337032675743,20260533
wc_accruals_to_assets,0.0009880445431917906,0.8964661359786987,-3.750389704064798,26.244454164201628,0.024546867236495018,0.09418612718582153,20260533
dsri,-0.5024102926254272,0.3506091237068176,-23.16471459772027,24.6301696294699,0.010785752907395363,0.03252672404050827,20260533
gmi,0.3818466365337372,1.2624233961105347,9.141611106581948,26.339143346571582,0.09894215315580368,0.01743224635720253,20260533
aqi,-0.22220058739185333,0.6292789578437805,-6.569560553093494,16.468464031014022,0.056847408413887024,0.023544613271951675,20260533
sgi,-0.4398934543132782,0.9022250771522522,-15.520138853291247,46.614372853892846,0.12225774675607681,0.00924441684037447,20260533
sgai,-0.027235081419348717,1.6355262994766235,4.560445495637609,127.71424261955843,0.067768894135952,0.009381510317325592,20260533
lvgi,-1.0356895923614502,0.05141586810350418,-35.94596051337058,7.505493382774142,0.34378674626350403,0.08413556218147278,20260533
leverage,-0.9052667617797852,-0.08135119825601578,-76.79878135868503,5.897079429581666,0.05667227879166603,0.08495326340198517,20260533
roa,-0.6671201586723328,0.6571801900863647,-19.27015503267948,12.862584699142916,0.07249335944652557,0.10035092383623123,20260533
