label_window_years,split,rows,positives,prevalence
0,train,210028,145,0.0006903841392576228
0,val,45437,18,0.00039615291502519975
0,test,75923,66,0.0008693017926056663
1,train,210028,285,0.0013569619288856724
1,val,45437,67,0.00147456918370491
1,test,75923,113,0.001488350038855156
2,train,210028,426,0.002028300988439637
2,val,45437,113,0.002486959966547087
2,test,75923,153,0.002015199610131317
3,train,210028,581,0.0027662978269564057
3,val,45437,156,0.003433325263551731
3,test,75923,167,0.0021995969600779736
