model,n,observed_rate,mean_probability,min_probability,max_probability
Logistic regression,7593,0.0014487027525352297,1.4745910404960472e-05,2.670302947346131e-15,3.728855596715946e-05
Logistic regression,7592,0.00013171759747102212,7.370059666941187e-05,3.729524902380124e-05,0.0001278447565381
Logistic regression,7592,0.0009220231822971549,0.029755442495239804,0.0001278656550107,0.0947352232991892
Logistic regression,7592,0.0005268703898840885,0.13266847469722448,0.0947618915318057,0.177550644416753
Logistic regression,7593,0.0013170025023047543,0.24480348463997842,0.1775802113313823,0.3095129042634877
Logistic regression,7592,0.001975763962065332,0.358376594551946,0.3095817524324424,0.4031042580274789
Logistic regression,7592,0.0040832455216016856,0.4482993402750812,0.4031163036093494,0.4940331613635924
Logistic regression,7592,0.0025026343519494202,0.5397114090178574,0.4940706746506342,0.5866099458027266
Logistic regression,7592,0.003819810326659642,0.6410410249705225,0.5866313686970389,0.7044211667248125
Logistic regression,7593,0.005268010009219017,0.8196722175478216,0.7044587460314599,0.999997819529834
Random forest,7593,0.000921901751613328,0.0,0.0,0.0
Random forest,7592,0.00013171759747102212,0.00027679449293716864,0.0,0.0018755647093062
Random forest,7592,0.0011854583772391992,0.0019486918442202976,0.0018756569268697,0.0019847858295924
Random forest,7592,0.0015806111696522655,0.003376466089364548,0.0019848067918118,0.0039354433629824
Random forest,7593,0.0022389042539180826,0.0051650815559736,0.0039355185369429,0.0059109771412945
Random forest,7592,0.0027660695468914647,0.007427984620015685,0.0059109898308007,0.0093389393854909
Random forest,7592,0.002897787144362487,0.010587395242491776,0.0093401497114012,0.0118332106625901
Random forest,7592,0.002897787144362487,0.014622127871205516,0.0118334052366665,0.0175889463277259
Random forest,7592,0.003161222339304531,0.021178482314567686,0.0175891322113098,0.0257878982914166
Random forest,7593,0.004214408007375214,0.04668926152614764,0.0257922003595655,0.403301954730949
Extra trees,7593,0.0006585012511523771,0.006082998862162399,0.0,0.0136589400988859
Extra trees,7592,0.0006585879873551106,0.021593630208556976,0.0136610934722756,0.0284695257394277
Extra trees,7592,0.001053740779768177,0.03756415045061719,0.0284731189346887,0.0466673135108152
Extra trees,7592,0.0006585879873551106,0.06313113947329156,0.0466676371720602,0.0863031221303093
Extra trees,7593,0.004872909258527592,0.11322639763819466,0.0863088707965851,0.1381517934563454
Extra trees,7592,0.002239199157007376,0.15896717031311913,0.1381530603175766,0.1786484770121867
Extra trees,7592,0.0018440463645943098,0.20105255064037747,0.1786524415720909,0.2257185387254833
Extra trees,7592,0.002239199157007376,0.25241245566608267,0.2257220891119419,0.2811003643497432
Extra trees,7592,0.002107481559536354,0.3163074196873849,0.2811235686725965,0.3585765376767377
Extra trees,7593,0.0056631107599104434,0.446353073155485,0.3585843209864666,0.9311524598963986
Gradient boosting,7593,0.000921901751613328,0.0843967229856463,0.0340882417940495,0.106319346317937
Gradient boosting,7592,0.001053740779768177,0.12617313860683535,0.1063223365517002,0.1437197907950941
Gradient boosting,7592,0.0009220231822971549,0.16637479330262409,0.14372285965585,0.1917309846636339
Gradient boosting,7592,0.0017123287671232876,0.21907175923512084,0.1917599072426098,0.2453394304087283
Gradient boosting,7593,0.0026340050046095085,0.2722429175739693,0.2453530862465872,0.3011260195978114
Gradient boosting,7592,0.001975763962065332,0.3326978584565276,0.3011266606973879,0.3650523262125676
Gradient boosting,7592,0.0035563751317175974,0.3983211097884515,0.3650576256193375,0.4315702296118681
Gradient boosting,7592,0.0027660695468914647,0.4678712570759315,0.4315787688126413,0.5062202197959381
Gradient boosting,7592,0.0026343519494204425,0.5538663401713863,0.506229493908154,0.6076779896570736
Gradient boosting,7593,0.0038193072566837876,0.6970280252655953,0.6076937155680509,0.9484603387885654
HistGradientBoosting,7593,0.0013170025023047543,0.009582327078931767,0.0018962934698976,0.0134083816287964
HistGradientBoosting,7592,0.0007903055848261328,0.016494654716782343,0.0134134946633147,0.0195646022764134
HistGradientBoosting,7592,0.0007903055848261328,0.022578111941726837,0.0195660067101482,0.0257947207254935
HistGradientBoosting,7592,0.001053740779768177,0.02921382596435874,0.0257957034611249,0.0329597394419006
HistGradientBoosting,7593,0.0015804030027657052,0.037791472903208424,0.0329606322714478,0.0433024140247625
HistGradientBoosting,7592,0.0017123287671232876,0.05053100248218947,0.0433024816422543,0.0590034007348986
HistGradientBoosting,7592,0.0026343519494204425,0.07087190146124675,0.0590060454905499,0.0853413815961796
HistGradientBoosting,7592,0.003819810326659642,0.10736874414921802,0.0853435850308293,0.1346126776351698
