subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,firms
All temporal test,Logistic regression,75923,167,0.0021995969600779736,0.5,0.6866797056923695,0.005907473369297034,0.1794685531109623,0.5308185415901036,0.3192433658141979,0.32144296277427586,0.006842884165495258,0.7067686998669704,0.6140681965705845,0.003906600808262236,0.5209580838323353,0.007755047466238802,0.023708230707427263,0.05389221556886228,10.778443113772456,9.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.011195553389618428,0.10179640718562874,5.089820359281437,17.0,0.007375893997866259,0.16766467065868262,3.353293413173653,28.0,0.005268495712761613,0.23952095808383234,2.3952095808383236,40.0,7665
All temporal test,Random forest,75923,167,0.0021995969600779736,0.5,0.6500185120018162,0.004237373545602116,0.002500889963363825,0.022440625170838543,0.008927874903405405,0.011127471863483377,0.1976726597976232,0.997800403039922,0.5,0.0,0.0,0.0,0.015805487138284842,0.03592814371257485,7.185628742514971,6.0,0.009219867497332824,0.041916167664670656,4.1916167664670665,7.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.004741646141485452,0.10778443113772455,2.155688622754491,18.0,0.004214796570209291,0.19161676646706588,1.916167664670659,32.0,7665
All temporal test,Extra trees,75923,167,0.0021995969600779736,0.5,0.6422118538149426,0.005505967113976588,0.046583931483177514,0.19556254267152623,0.15947056397804305,0.16167016093812098,0.013605460323132023,0.977766948092146,0.5497094279680778,0.012812299807815503,0.11976047904191617,0.023148148148148147,0.018439734994665648,0.041916167664670656,8.383233532934133,7.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.012512677317808833,0.11377245508982035,5.688622754491019,19.0,0.007112469212228178,0.16167664670658682,3.2335329341317367,27.0,0.005663632891218734,0.25748502994011974,2.5748502994011977,43.0,7665
All temporal test,Gradient boosting,75923,167,0.0021995969600779736,0.5,0.621104970480392,0.0032877482741150025,0.14653898744704474,0.45612670446365067,0.32960556256994583,0.3318051595300238,0.006629182509378491,0.7910646312711563,0.5487622489853178,0.0032282567413596656,0.30538922155688625,0.006388975884747886,0.010536991425523227,0.023952095808383235,4.790419161676647,4.0,0.005268495712761613,0.023952095808383235,2.3952095808383236,4.0,0.0032928098204760086,0.029940119760479042,1.4970059880239521,5.0,0.0036879469989331295,0.08383233532934131,1.6766467065868265,14.0,0.0038196593917521698,0.17365269461077845,1.7365269461077846,29.0,7665
All temporal test,HistGradientBoosting,75923,167,0.0021995969600779736,0.5,0.6554457218937698,0.0036236866346776387,0.027110253037967092,0.12017537038020677,0.09248821211604763,0.0946878090761256,0.023229991078466888,0.9731833568220434,0.5026014026121683,0.0026609898882384245,0.029940119760479042,0.004887585532746823,0.005268495712761613,0.011976047904191617,2.3952095808383236,2.0,0.0039513717845712105,0.017964071856287425,1.7964071856287427,3.0,0.0032928098204760086,0.029940119760479042,1.4970059880239521,5.0,0.003424522213295049,0.07784431137724551,1.5568862275449102,13.0,0.0036879469989331295,0.16766467065868262,1.6766467065868265,28.0,7665
All temporal test,DeepCut-inspired neural threshold,75923,167,0.0021995969600779736,0.5,0.7669747626559016,0.0073840740728102,0.20671976556479174,0.575011784191493,0.3433253095253122,0.34552490648539014,0.006365957761053556,0.6658720018966584,0.7339831267292756,0.005261298048608112,0.8023952095808383,0.010454048993602746,0.015805487138284842,0.03592814371257485,7.185628742514971,6.0,0.009219867497332824,0.041916167664670656,4.1916167664670665,7.0,0.004609933748666412,0.041916167664670656,2.0958083832335332,7.0,0.007902743569142421,0.17964071856287425,3.5928143712574854,30.0,0.007902743569142421,0.3592814371257485,3.5928143712574854,60.0,7665
10-K only (model trained on 10-K and 10-Q),Logistic regression,18551,39,0.002102312543798178,0.5,0.7076961859805421,0.00885542732545821,0.16837527852200465,0.5123947839506772,0.30293223590000384,0.305034548443802,0.006892047325535971,0.7349469031319066,0.6497046960530106,0.004469727752945957,0.5641025641025641,0.008869179600886918,0.03234326990458736,0.07692307692307693,15.384615384615385,3.0,0.026952724920489463,0.1282051282051282,12.82051282051282,5.0,0.013476362460244732,0.1282051282051282,6.41025641025641,5.0,0.009702980971376205,0.23076923076923078,4.615384615384614,9.0,0.005390544984097892,0.2564102564102564,2.564102564102564,10.0,7265
10-K only (model trained on 10-K and 10-Q),Random forest,18551,39,0.002102312543798178,0.5,0.6656264543580879,0.0048056939205117725,0.002452242696802157,0.02157527665971259,0.010263855971544278,0.012366168515342458,0.17000516701595006,0.9978976874562018,0.5,0.0,0.0,0.0,0.02156217993639157,0.05128205128205128,10.256410256410255,2.0,0.010781089968195785,0.05128205128205128,5.128205128205128,2.0,0.00808581747614684,0.07692307692307693,3.8461538461538463,3.0,0.004312435987278314,0.10256410256410256,2.051282051282051,4.0,0.0037733814888685244,0.1794871794871795,1.7948717948717945,7.0,7265
10-K only (model trained on 10-K and 10-Q),Extra trees,18551,39,0.002102312543798178,0.5,0.6565928129778605,0.006914722734449224,0.04307295846091284,0.18704262675470834,0.15385751722483298,0.15595982976863115,0.013479833537372999,0.9808635653064525,0.5426390089311438,0.012345679012345678,0.10256410256410256,0.02203856749311295,0.03234326990458736,0.07692307692307693,15.384615384615385,3.0,0.01617163495229368,0.07692307692307693,7.6923076923076925,3.0,0.010781089968195785,0.10256410256410256,5.128205128205128,4.0,0.00646865398091747,0.15384615384615385,3.076923076923076,6.0,0.005390544984097892,0.2564102564102564,2.564102564102564,10.0,7265
10-K only (model trained on 10-K and 10-Q),Gradient boosting,18551,39,0.002102312543798178,0.5,0.626483445249651,0.0035746958890477496,0.15463792522409098,0.47787744428946016,0.34437852299810817,0.3464808355419064,0.006067615660502834,0.7808204409465797,0.5575482569864593,0.0032075006168270415,0.3333333333333333,0.00635386119257087,0.010781089968195785,0.02564102564102564,5.128205128205128,1.0,0.005390544984097892,0.02564102564102564,2.564102564102564,1.0,0.002695272492048946,0.02564102564102564,1.282051282051282,1.0,0.003234326990458735,0.07692307692307693,1.538461538461538,3.0,0.0048514904856881026,0.23076923076923078,2.307692307692307,9.0,7265
