subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1
FY 2021,Logistic regression,25605,76,0.0029681702792423354,0.5,0.6874483301755898,0.010590482592591087,0.17529157205477294,0.5176131095314978,0.3144838580646864,0.3174520283439287,0.00934998051430501,0.7129466900995899,0.6067903168945121,0.0051700680272108845,0.5,0.010234311877188257,0.04686584651435266,0.07894736842105263,15.789473684210526,6.0,0.02733841046670572,0.09210526315789473,9.210526315789473,7.0,0.019527436047646944,0.13157894736842105,6.578947368421053,10.0,0.010935364186682289,0.18421052631578946,3.68421052631579,14.0,0.007420425698105838,0.25,2.5,19.0
FY 2021,Random forest,25605,76,0.0029681702792423354,0.5,0.6977330734293918,0.00616423619274095,0.0032292290100876956,0.024896478585173056,0.00795209421687799,0.010920264496120323,0.271803881700562,0.9970318297207577,0.5,0.0,0.0,0.0,0.007810974419058777,0.013157894736842105,2.631578947368421,1.0,0.007810974419058777,0.02631578947368421,2.631578947368421,2.0,0.0058582308142940825,0.039473684210526314,1.9736842105263157,3.0,0.007810974419058777,0.13157894736842105,2.631578947368421,10.0,0.007420425698105838,0.25,2.5,19.0
FY 2021,Extra trees,25605,76,0.0029681702792423354,0.5,0.6887456164403332,0.008771968801379522,0.04664015662791782,0.19479880289288964,0.1574635846965009,0.16043175497574325,0.018501139501285846,0.9771138449521578,0.5490456158218414,0.017045454545454544,0.11842105263157894,0.029801324503311258,0.02343292325717633,0.039473684210526314,7.894736842105263,3.0,0.019527436047646944,0.06578947368421052,6.578947368421053,5.0,0.017574692442882248,0.11842105263157894,5.921052631578947,9.0,0.007810974419058777,0.13157894736842105,2.631578947368421,10.0,0.008201523140011716,0.27631578947368424,2.763157894736842,21.0
FY 2021,Gradient boosting,25605,76,0.0029681702792423354,0.5,0.585146716530839,0.004079099423916611,0.14621128068404896,0.4546855212425215,0.3267633867873062,0.3297315570665485,0.009001778008900983,0.7876196055457918,0.5392881367113973,0.004069552349241583,0.2894736842105263,0.008026267785479753,0.015621948838117555,0.02631578947368421,5.263157894736842,2.0,0.007810974419058777,0.02631578947368421,2.631578947368421,2.0,0.0058582308142940825,0.039473684210526314,1.9736842105263157,3.0,0.003124389767623511,0.05263157894736842,1.0526315789473686,4.0,0.0039054872095293887,0.13157894736842105,1.3157894736842104,10.0
FY 2021,HistGradientBoosting,25605,76,0.0029681702792423354,0.5,0.6598063914928534,0.004653591579731218,0.027316394846377597,0.12050568615820188,0.09052020122264809,0.09348837150189042,0.0317490852772242,0.9731302479984378,0.5011323551544065,0.003246753246753247,0.02631578947368421,0.005780346820809248,0.0,0.0,0.0,0.0,0.0039054872095293887,0.013157894736842105,1.3157894736842104,1.0,0.0039054872095293887,0.02631578947368421,1.3157894736842104,2.0,0.0039054872095293887,0.06578947368421052,1.3157894736842104,5.0,0.004296035930482328,0.14473684210526316,1.4473684210526316,11.0
FY 2021,DeepCut-inspired neural threshold,25605,76,0.0029681702792423354,0.5,0.7679048182562247,0.01601947922523477,0.20573259890682233,0.5728706537787338,0.3415457160496483,0.34451388632889063,0.00861553161433025,0.6699472759226713,0.7492106500141222,0.007410892836136925,0.8289473684210527,0.014690451206715634,0.03905487209529389,0.06578947368421052,13.157894736842106,5.0,0.019527436047646944,0.06578947368421052,6.578947368421053,5.0,0.009763718023823472,0.06578947368421052,3.2894736842105265,5.0,0.011716461628588167,0.19736842105263158,3.947368421052632,15.0,0.007810974419058777,0.2631578947368421,2.631578947368421,20.0
FY 2022,Logistic regression,26022,47,0.0018061640150641765,0.5,0.6784633342207114,0.00490453844782675,0.17731164145782607,0.5267721693853613,0.31795982233501413,0.31976598635007836,0.005648393175523041,0.7104373222657752,0.6107185714578256,0.0031847133757961785,0.5106382978723404,0.006329948569167875,0.015371608638844054,0.0425531914893617,8.51063829787234,2.0,0.01152870647913304,0.06382978723404255,6.382978723404254,3.0,0.007685804319422027,0.0851063829787234,4.25531914893617,4.0,0.006148643455537621,0.1702127659574468,3.4042553191489358,8.0,0.0038429021597110135,0.2127659574468085,2.127659574468085,10.0
FY 2022,Random forest,26022,47,0.0018061640150641765,0.5,0.6049880203960436,0.003906091678448671,0.0021225670019912823,0.020945630051744914,0.009109360865944518,0.010915524881008696,0.16546744519877546,0.9981938359849358,0.5,0.0,0.0,0.0,0.015371608638844054,0.0425531914893617,8.51063829787234,2.0,0.007685804319422027,0.0425531914893617,4.25531914893617,2.0,0.00576435323956652,0.06382978723404255,3.191489361702127,3.0,0.0030743217277688106,0.0851063829787234,1.7021276595744679,4.0,0.002305741295826608,0.1276595744680851,1.276595744680851,6.0
FY 2022,Extra trees,26022,47,0.0018061640150641765,0.5,0.6111809636925849,0.0036377808807401143,0.04600325453995864,0.19385873987177574,0.15884323249106436,0.16064939650612853,0.011242893246693735,0.9790946122511721,0.5222902545409867,0.005964214711729622,0.06382978723404255,0.01090909090909091,0.015371608638844054,0.0425531914893617,8.51063829787234,2.0,0.007685804319422027,0.0425531914893617,4.25531914893617,2.0,0.00576435323956652,0.06382978723404255,3.191489361702127,3.0,0.005380063023595419,0.14893617021276595,2.978723404255319,7.0,0.0030743217277688106,0.1702127659574468,1.7021276595744679,8.0
FY 2022,Gradient boosting,26022,47,0.0018061640150641765,0.5,0.6476366391579464,0.003488655617308346,0.14140562882632177,0.44415165715725086,0.32370346033911834,0.3255096243541825,0.0055487269190508315,0.8031665513796019,0.540357545102697,0.002548519898059204,0.2765957446808511,0.005050505050505051,0.015371608638844054,0.0425531914893617,8.51063829787234,2.0,0.007685804319422027,0.0425531914893617,4.25531914893617,2.0,0.0038429021597110135,0.0425531914893617,2.127659574468085,2.0,0.0038429021597110135,0.10638297872340426,2.127659574468085,5.0,0.0030743217277688106,0.1702127659574468,1.7021276595744679,8.0
FY 2022,HistGradientBoosting,26022,47,0.0018061640150641765,0.5,0.6783625826797453,0.004854138953803846,0.025582861853312742,0.11580654376980529,0.090749420849086,0.09255558486415016,0.01951437093412786,0.9752132810698639,0.5097270288534392,0.0033222591362126247,0.0425531914893617,0.0061633281972265025,0.015371608638844054,0.0425531914893617,8.51063829787234,2.0,0.007685804319422027,0.0425531914893617,4.25531914893617,2.0,0.0038429021597110135,0.0425531914893617,2.127659574468085,2.0,0.0015371608638844053,0.0425531914893617,0.8510638297872339,2.0,0.003458611943739912,0.19148936170212766,1.9148936170212763,9.0
FY 2022,DeepCut-inspired neural threshold,26022,47,0.0018061640150641765,0.5,0.7749751192840907,0.0061841102501798625,0.20467615836710787,0.5703286698218523,0.34217518611988507,0.3439813501349493,0.005250761456560333,0.6680501114441626,0.7275342493805419,0.004270051933064051,0.7872340425531915,0.008494031221303948,0.007685804319422027,0.02127659574468085,4.25531914893617,1.0,0.0038429021597110135,0.02127659574468085,2.127659574468085,1.0,0.0038429021597110135,0.0425531914893617,2.127659574468085,2.0,0.00845438475136423,0.23404255319148937,4.680851063829787,11.0,0.008838674967335331,0.48936170212765956,4.8936170212765955,23.0
FY 2023,Logistic regression,24296,44,0.0018109976950938427,0.5,0.6956736464096681,0.004444797591363789,0.18618071786983778,0.5490692736189319,0.3256340294765932,0.3274450271716871,0.005530692314176737,0.6963286137635825,0.6323714632720077,0.0033856988082340196,0.5681818181818182,0.006731287022078622,0.008231807704972012,0.022727272727272728,4.545454545454545,1.0,0.012347711557458018,0.06818181818181818,6.818181818181818,3.0,0.008231807704972012,0.09090909090909091,4.545454545454545,4.0,0.004939084622983207,0.13636363636363635,2.7272727272727275,6.0,0.003292723081988805,0.18181818181818182,1.8181818181818183,8.0
FY 2023,Random forest,24296,44,0.0018109976950938427,0.5,0.6195651155293659,0.004744110196646494,0.002138509275574545,0.021453657617126805,0.009761849086865301,0.011572846781959146,0.15648679440887422,0.9981890023049061,0.5,0.0,0.0,0.0,0.024695423114916036,0.06818181818181818,13.636363636363637,3.0,0.012347711557458018,0.06818181818181818,6.818181818181818,3.0,0.008231807704972012,0.09090909090909091,4.545454545454545,4.0,0.003292723081988805,0.09090909090909091,1.8181818181818183,4.0,0.0028811326967402044,0.1590909090909091,1.590909090909091,7.0
FY 2023,Extra trees,24296,44,0.0018109976950938427,0.5,0.5967661523698139,0.006212664546919258,0.0471466056100036,0.19819227240016862,0.16225757107625038,0.1640685687713442,0.01103805383722069,0.9770332565031281,0.5801470918987001,0.01509433962264151,0.18181818181818182,0.027874564459930314,0.016463615409944024,0.045454545454545456,9.09090909090909,2.0,0.02057951926243003,0.11363636363636363,11.363636363636363,5.0,0.012347711557458018,0.13636363636363635,6.818181818181818,6.0,0.007408626934474811,0.20454545454545456,4.090909090909091,9.0,0.005762265393480409,0.3181818181818182,3.181818181818182,14.0
FY 2023,Gradient boosting,24296,44,0.0018109976950938427,0.5,0.6590478011185581,0.003110735429551808,0.1523823851131199,0.4704712952351417,0.3389222573001518,0.34073325499524565,0.005315001305402703,0.7817336187026671,0.5730642646154769,0.003024003024003024,0.36363636363636365,0.005998125585754452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003292723081988805,0.09090909090909091,1.8181818181818183,4.0,0.004115903852486006,0.22727272727272727,2.2727272727272725,10.0
FY 2023,HistGradientBoosting,24296,44,0.0018109976950938427,0.5,0.6266587198056768,0.002839069791992585,0.028528902708806914,0.12450644835848729,0.09642456975822622,0.09823556745332006,0.018435254582861743,0.9710651959170233,0.49775651117808467,0.0015128593040847202,0.022727272727272728,0.0028368794326241137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002057951926243003,0.022727272727272728,1.1363636363636362,1.0,0.004115903852486006,0.11363636363636363,2.2727272727272725,5.0,0.0037043134672374053,0.20454545454545456,2.0454545454545454,9.0
FY 2023,DeepCut-inspired neural threshold,24296,44,0.0018109976950938427,0.5,0.7570912614517266,0.005117242018377136,0.20994890405571356,0.5822840778342939,0.34643261122931285,0.34824360892440664,0.005200375968671277,0.6592443200526835,0.7158828512737468,0.004094905455859328,0.7727272727272727,0.008146639511201629,0.0,0.0,0.0,0.0,0.004115903852486006,0.022727272727272728,2.2727272727272725,1.0,0.002057951926243003,0.022727272727272728,1.1363636363636362,1.0,0.004939084622983207,0.13636363636363635,2.7272727272727275,6.0,0.007408626934474811,0.4090909090909091,4.090909090909091,18.0
