model,top_fraction,top_k,true_positives_captured,precision_at_k,recall_at_k,lift_over_prevalence
Logistic regression,0.005,372,27,0.07258064516129033,0.046232876712328765,9.241852629253204
Logistic regression,0.01,744,38,0.051075268817204304,0.06506849315068493,6.503525924289292
Logistic regression,0.02,1487,52,0.03496973772696705,0.08904109589041095,4.452773350775212
Logistic regression,0.05,3718,97,0.02608929532006455,0.1660958904109589,3.322007155120959
Logistic regression,0.1,7436,162,0.021785906401291015,0.2773972602739726,2.7740472120082234
Random forest,0.005,372,1,0.002688172043010753,0.0017123287671232876,0.34229083812048905
Random forest,0.01,744,10,0.013440860215053764,0.017123287671232876,1.711454190602445
Random forest,0.02,1487,23,0.01546738399462004,0.039383561643835614,1.9694959051505743
Random forest,0.05,3718,54,0.014523937600860678,0.09246575342465753,1.8493648080054823
Random forest,0.1,7436,107,0.014389456697149005,0.1832191780821918,1.8322410597832093
Extra trees,0.005,372,0,0.0,0.0,0.0
Extra trees,0.01,744,2,0.002688172043010753,0.003424657534246575,0.34229083812048905
Extra trees,0.02,1487,17,0.011432414256893073,0.02910958904109589,1.4557143646765114
Extra trees,0.05,3718,55,0.014792899408284023,0.09417808219178082,1.8836123044500281
Extra trees,0.1,7436,98,0.013179128563743949,0.1678082191780822,1.6781273257827525
Gradient boosting,0.005,372,22,0.05913978494623656,0.03767123287671233,7.530398438650758
Gradient boosting,0.01,744,34,0.0456989247311828,0.05821917808219178,5.818944248048314
Gradient boosting,0.02,1487,54,0.0363147276395427,0.09246575342465753,4.624033864266566
Gradient boosting,0.05,3718,93,0.025013448090371166,0.15924657534246575,3.185017169342775
Gradient boosting,0.1,7436,146,0.01963421194190425,0.25,2.500067240451856
HistGradientBoosting,0.005,372,19,0.051075268817204304,0.032534246575342464,6.503525924289292
HistGradientBoosting,0.01,744,33,0.04435483870967742,0.05650684931506849,5.647798828988069
HistGradientBoosting,0.02,1487,45,0.03026227303295225,0.07705479452054795,3.8533615535554713
HistGradientBoosting,0.05,3718,65,0.017482517482517484,0.1113013698630137,2.2260872688954882
HistGradientBoosting,0.1,7436,102,0.013717052178590641,0.17465753424657535,1.7466223186718446
DeepCut-inspired neural threshold,0.005,372,13,0.03494623655913978,0.02226027397260274,4.449780895566357
DeepCut-inspired neural threshold,0.01,744,20,0.026881720430107527,0.03424657534246575,3.42290838120489
DeepCut-inspired neural threshold,0.02,1487,56,0.03765971755211836,0.0958904109589041,4.79529437775792
DeepCut-inspired neural threshold,0.05,3718,122,0.0328133405056482,0.2089041095890411,4.178194566234608
DeepCut-inspired neural threshold,0.1,7436,169,0.022727272727272728,0.2893835616438356,2.8939134495641343
